username: 51535, Experiment time (minutes): 25
Operating system: Windows XP
Manufacturer: Google Windows
Player type: PlugIn
Version: WIN 10,3,183,5

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
51535	0	1	85	60	80	50	65	60	Fill	5	50	3	1674
51535	0	2	50	85	85	50	80	50	Att2	3	51	3	1285
51535	0	3	50	80	80	50	32	125	Com1	3	49	2	1545
51535	1	1	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	1	50	2	1557
51535	1	2	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	5	49	2	1662
51535	1	3	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	4	51	2	1753
51535	1	4	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	2	51	2	1657
51535	1	5	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	2	49	1	1150
51535	1	6	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	5	51	1	1538
51535	1	7	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	3	49	2	1102
51535	1	8	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	3	49	2	828
51535	1	9	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	1	49	1	2150
51535	1	10	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	1	50	2	1558
51535	1	11	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	4	50	1	1757
51535	1	12	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	2	51	2	1894
51535	1	13	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	1	50	2	1293
51535	1	14	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	4	51	2	1231
51535	1	15	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	4	50	1	2042
51535	1	16	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	3	49	2	1364
51535	1	17	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	4	51	2	939
51535	1	18	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	1	49	1	1047
51535	1	19	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	1	50	2	1356
51535	1	20	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	2	51	2	1531
51535	1	21	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	5	51	1	1473
51535	1	22	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	4	50	1	1316
51535	1	23	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	2	49	1	982
51535	1	24	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	4	50	1	1314
51535	1	25	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	3	50	1	961
51535	1	26	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	5	51	1	1207
51535	1	27	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	4	50	1	1062
51535	1	28	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	1	49	1	856
51535	1	29	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	1	51	3	1270
51535	1	30	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	1	50	2	1288
51535	1	31	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	3	49	2	1729
51535	1	32	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	5	49	2	1474
51535	1	33	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	5	51	1	959
51535	1	34	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	4	50	1	850
51535	1	35	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	1	50	2	959
51535	1	36	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	6	50	2	778
51535	1	37	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	3	50	1	832
51535	1	38	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	3	50	1	1569
51535	1	39	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	3	49	2	1089
51535	1	40	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	6	50	2	1584
51535	1	41	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	3	49	2	1628
51535	1	42	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	5	50	3	1571
51535	1	43	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	4	50	1	1383
51535	1	44	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	4	50	1	1434
51535	1	45	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	5	51	1	2586
51535	1	46	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	5	51	1	1373
51535	1	47	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	5	49	2	1237
51535	1	48	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	5	49	2	1126
51535	1	49	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	4	50	1	1651
51535	1	50	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	6	51	1	1525
51535	1	51	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	5	49	2	947
51535	1	52	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	3	49	2	1063
51535	1	53	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	1	50	2	1020
51535	1	54	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	1	50	2	1066
51535	1	55	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	1	49	1	2369
51535	1	56	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	4	50	1	1296
51535	1	57	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	1	50	2	1150
51535	1	58	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	4	50	1	1214
51535	1	59	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	3	49	2	2033
51535	1	60	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	2	49	1	2410
51535	1	61	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	1	49	1	1155
51535	1	62	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	5	51	1	1080
51535	1	63	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	2	49	1	807
51535	1	64	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	3	50	1	833
51535	1	65	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	1	49	1	1183
51535	1	66	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	3	50	1	1272
51535	1	67	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	1	50	2	916
51535	1	68	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	5	51	1	2084
51535	1	69	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	5	49	2	1017
51535	1	70	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	6	50	2	746
51535	1	71	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	5	49	2	949
51535	1	72	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	6	50	2	1029
51535	1	73	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	3	50	1	1730
51535	1	74	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	6	50	2	1194
51535	1	75	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	3	50	1	820
51535	1	76	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	5	51	1	1448
51535	1	77	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	1	50	2	968
51535	1	78	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	4	51	2	1349
51535	1	79	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	1	50	2	1060
51535	1	80	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	2	50	3	1631
51535	2	1	50.000	  78.000	  84.000	  60.000	  67.000	  57.000	Fill	6	50	2	2006
51535	2	2	52.000	  80.000	  79.000	  52.658	  44.000	  80.000	AttR1	4	50	1	690
51535	2	3	51.000	  82.000	  84.000	  60.000	  69.000	  60.000	Fill	1	50	2	625
51535	2	4	57.000	  86.000	  81.000	  50.000	  60.000	  68.000	Fill	5	51	1	1077
51535	2	5	50.000	  80.000	  80.000	  50.000	  42.000	  80.000	AttR1	1	50	2	798
51535	2	6	50.000	  80.000	  78.000	  51.282	  71.000	  51.282	AttF2	1	50	2	985
51535	2	7	49.000	  80.000	  79.000	  49.620	  70.000	  49.620	AttF2	2	51	2	1262
51535	2	8	49.000	  78.000	  79.000	  48.380	  45.318	  74.000	AttRF1	1	50	2	1052
51535	2	9	49.000	  79.000	  84.000	  58.000	  68.000	  61.000	Fill	6	50	2	492
51535	2	10	61.000	  82.000	  80.000	  53.000	  58.000	  67.000	Fill	6	51	1	982
51535	2	11	49.000	  82.000	  80.000	  50.225	  48.342	  77.000	AttRF1	6	50	2	682
51535	2	12	49.000	  78.000	  85.000	  60.000	  69.000	  59.000	Fill	5	49	2	714
51535	2	13	49.000	  82.000	  80.000	  50.225	  49.000	  75.000	AttF1	4	50	1	622
51535	2	14	61.000	  85.000	  80.000	  49.000	  59.000	  67.000	Fill	3	50	1	566
51535	2	15	48.000	  79.000	  79.000	  48.000	  79.000	  40.000	AttR2	1	50	2	1783
51535	2	16	49.000	  78.000	  79.000	  48.380	  70.000	  48.380	AttF2	3	50	1	848
51535	2	17	48.000	  79.000	  79.000	  48.000	  41.000	  79.000	AttR1	3	49	2	1350
51535	2	18	57.000	  86.000	  76.000	  51.000	  56.000	  67.000	Fill	5	51	1	804
51535	2	19	50.000	  80.000	  86.000	  60.000	  67.000	  59.000	Fill	4	51	2	867
51535	2	20	49.000	  78.000	  79.000	  48.380	  42.000	  78.000	AttR1	2	49	1	837
51535	2	21	49.000	  78.000	  79.000	  48.380	  79.000	  41.380	AttR2	5	49	2	1730
51535	2	22	60.000	  86.000	  78.000	  51.000	  62.000	  67.000	Fill	6	51	1	720
51535	2	23	52.000	  82.000	  81.000	  52.642	  72.000	  52.642	AttF2	5	51	1	1421
51535	2	24	49.000	  82.000	  80.000	  50.225	  80.000	  42.225	AttR2	5	49	2	842
51535	2	25	49.000	  78.000	  77.000	  49.636	  47.058	  73.000	AttRF1	3	49	2	1382
51535	2	26	50.000	  80.000	  80.000	  50.000	  76.000	  47.500	AttRF2	4	49	3	1264
51535	2	27	59.000	  84.000	  82.000	  49.000	  62.000	  68.000	Fill	2	50	3	1402
51535	2	28	50.000	  80.000	  80.000	  50.000	  80.000	  41.000	AttR2	3	50	1	1118
51535	2	29	61.000	  83.000	  79.000	  50.000	  60.000	  66.000	Fill	5	51	1	1136
51535	2	30	50.000	  80.000	  81.000	  49.383	  45.725	  75.000	AttRF1	4	51	2	1017
51535	2	31	60.000	  84.000	  80.000	  51.000	  60.000	  69.000	Fill	4	50	1	942
51535	2	32	49.000	  82.000	  80.000	  50.225	  40.000	  82.000	AttR1	5	49	2	693
51535	2	33	48.000	  79.000	  79.000	  48.000	  70.000	  48.000	AttF2	5	49	2	1338
51535	2	34	50.000	  80.000	  81.000	  49.383	  81.000	  41.383	AttR2	5	49	2	1079
51535	2	35	50.000	  80.000	  81.000	  49.383	  73.000	  49.383	AttF2	1	49	1	1319
51535	2	36	52.000	  80.000	  79.000	  52.658	  52.000	  72.000	AttF1	2	51	2	1182
51535	2	37	51.000	  79.000	  85.000	  59.000	  68.000	  60.000	Fill	2	51	2	1054
51535	2	38	48.000	  79.000	  79.000	  48.000	  48.000	  72.000	AttF1	2	51	2	939
51535	2	39	49.000	  82.000	  80.000	  50.225	  76.000	  45.415	AttRF2	2	51	2	1941
51535	2	40	50.000	  80.000	  80.000	  50.000	  50.000	  71.000	AttF1	5	49	2	2177
51535	2	41	49.000	  78.000	  79.000	  48.380	  75.000	  47.115	AttRF2	5	50	3	1820
51535	2	42	50.000	  80.000	  87.000	  59.000	  66.000	  58.000	Fill	4	51	2	1952
51535	2	43	52.000	  80.000	  79.000	  52.658	  74.000	  48.100	AttRF2	1	49	1	2857
51535	2	44	50.000	  80.000	  80.000	  50.000	  46.875	  75.000	AttRF1	4	51	2	2942
51535	2	45	61.000	  86.000	  81.000	  47.000	  60.000	  67.000	Fill	3	50	1	962
51535	2	46	49.000	  80.000	  79.000	  49.620	  74.000	  45.325	AttRF2	2	49	1	2731
51535	2	47	50.000	  82.000	  84.000	  60.000	  68.000	  58.000	Fill	2	51	2	1201
51535	2	48	51.000	  77.000	  85.000	  60.000	  68.000	  61.000	Fill	5	49	2	1536
51535	2	49	50.000	  80.000	  78.000	  51.282	  50.000	  73.000	AttF1	6	50	2	945
51535	2	50	49.000	  78.000	  77.000	  49.636	  72.000	  45.231	AttRF2	4	51	2	2645
51535	2	51	52.000	  80.000	  79.000	  52.658	  50.659	  76.000	AttRF1	2	51	2	1625
51535	2	52	52.000	  80.000	  79.000	  52.658	  79.000	  43.658	AttR2	6	51	1	2225
51535	2	53	48.000	  79.000	  79.000	  48.000	  44.962	  74.000	AttRF1	3	50	1	3357
51535	2	54	49.000	  83.000	  85.000	  60.000	  70.000	  59.000	Fill	2	51	2	2463
51535	2	55	49.000	  78.000	  79.000	  48.380	  49.000	  69.000	AttF1	4	51	2	1540
51535	2	56	49.000	  78.000	  77.000	  49.636	  41.000	  78.000	AttR1	6	51	1	2863
51535	2	57	52.000	  82.000	  81.000	  52.642	  50.042	  77.000	AttRF1	4	51	2	1573
51535	2	58	52.000	  80.000	  79.000	  52.658	  70.000	  52.658	AttF2	4	51	2	2435
51535	2	59	50.000	  80.000	  78.000	  51.282	  49.967	  76.000	AttRF1	5	51	1	1434
51535	2	60	48.000	  79.000	  79.000	  48.000	  74.000	  44.962	AttRF2	4	50	1	2772
51535	2	61	49.000	  78.000	  77.000	  49.636	  69.000	  49.636	AttF2	4	51	2	1184
51535	2	62	49.000	  80.000	  79.000	  49.620	  41.000	  80.000	AttR1	5	49	2	1030
51535	2	63	52.000	  82.000	  81.000	  52.642	  81.000	  44.642	AttR2	6	51	1	920
51535	2	64	49.000	  80.000	  79.000	  49.620	  47.108	  75.000	AttRF1	4	50	1	1192
51535	2	65	49.000	  80.000	  79.000	  49.620	  49.000	  72.000	AttF1	3	49	2	2485
51535	2	66	50.000	  80.000	  81.000	  49.383	  41.000	  80.000	AttR1	4	51	2	1656
51535	2	67	50.000	  80.000	  78.000	  51.282	  41.000	  80.000	AttR1	3	49	2	994
51535	2	68	49.000	  78.000	  77.000	  49.636	  49.000	  69.000	AttF1	2	49	1	1297
51535	2	69	50.000	  80.000	  80.000	  50.000	  73.000	  50.000	AttF2	1	50	2	1294
51535	2	70	52.000	  82.000	  81.000	  52.642	  43.000	  82.000	AttR1	4	50	1	1067
51535	2	71	59.000	  85.000	  80.000	  50.000	  60.000	  68.000	Fill	2	49	1	1877
51535	2	72	49.000	  82.000	  80.000	  50.225	  71.000	  50.225	AttF2	6	50	2	2119
51535	2	73	49.000	  78.000	  77.000	  49.636	  77.000	  41.636	AttR2	3	49	2	2417
51535	2	74	50.000	  80.000	  81.000	  49.383	  76.000	  47.500	AttRF2	5	49	2	1294
51535	2	75	50.000	  80.000	  78.000	  51.282	  78.000	  44.282	AttR2	4	51	2	1732
51535	2	76	49.000	  80.000	  79.000	  49.620	  79.000	  40.620	AttR2	3	49	2	1351
51535	2	77	52.000	  82.000	  81.000	  52.642	  77.000	  48.829	AttRF2	2	51	2	1987
51535	2	78	50.000	  80.000	  81.000	  49.383	  50.000	  71.000	AttF1	2	49	1	1090
51535	2	79	50.000	  80.000	  78.000	  51.282	  74.000	  46.250	AttRF2	2	49	1	1099
51535	2	80	52.000	  82.000	  81.000	  52.642	  52.000	  75.000	AttF1	5	49	2	1301
51535	3	1	51.000	  77.000	  76.000	  51.671	  51.000	  69.000	AttF1	2	50	3	2303
51535	3	2	59.000	  86.000	  81.000	  53.000	  60.000	  68.000	Fill	1	49	1	790
51535	3	3	50.000	  81.000	  81.000	  50.000	  76.000	  46.914	AttRF2	4	51	2	900
51535	3	4	50.000	  83.000	  85.000	  48.824	  76.000	  48.824	AttF2	1	50	2	1024
51535	3	5	49.000	  81.000	  82.000	  48.402	  82.000	  40.402	AttR2	5	49	2	1205
51535	3	6	50.000	  81.000	  79.000	  51.266	  72.000	  51.266	AttF2	1	49	1	1911
51535	3	7	50.000	  81.000	  82.000	  49.390	  46.379	  77.000	AttRF1	6	50	2	1400
51535	3	8	50.000	  78.000	  80.000	  48.750	  72.000	  48.750	AttF2	4	49	3	940
51535	3	9	50.000	  78.000	  80.000	  48.750	  50.000	  70.000	AttF1	5	49	2	735
51535	3	10	50.000	  83.000	  85.000	  48.824	  45.377	  79.000	AttRF1	4	50	1	1212
51535	3	11	49.000	  81.000	  82.000	  48.402	  40.000	  81.000	AttR1	4	50	1	906
51535	3	12	64.000	  86.000	  79.000	  49.000	  59.000	  69.000	Fill	5	51	1	1268
51535	3	13	50.000	  81.000	  79.000	  51.266	  49.319	  76.000	AttRF1	1	50	2	1877
51535	3	14	53.000	  78.000	  76.000	  54.395	  71.000	  48.244	AttRF2	5	49	2	1178
51535	3	15	50.000	  81.000	  85.000	  59.000	  66.000	  57.000	Fill	2	51	2	917
51535	3	16	50.000	  78.000	  80.000	  48.750	  44.484	  73.000	AttRF1	2	49	1	1675
51535	3	17	50.000	  81.000	  82.000	  49.390	  50.000	  73.000	AttF1	3	49	2	1261
51535	3	18	50.000	  80.000	  81.000	  49.383	  45.725	  75.000	AttRF1	6	50	2	1062
51535	3	19	50.000	  78.000	  80.000	  48.750	  80.000	  41.750	AttR2	4	50	1	1977
51535	3	20	50.000	  78.000	  80.000	  48.750	  75.000	  48.077	AttRF2	2	50	3	1450
51535	3	21	48.000	  79.000	  78.000	  48.615	  48.000	  72.000	AttF1	3	49	2	841
51535	3	22	50.000	  81.000	  86.000	  61.000	  69.000	  60.000	Fill	6	50	2	772
51535	3	23	60.000	  85.000	  82.000	  49.000	  60.000	  70.000	Fill	1	49	1	1509
51535	3	24	50.000	  83.000	  85.000	  48.824	  42.000	  83.000	AttR1	4	50	1	1654
51535	3	25	50.000	  81.000	  82.000	  49.390	  74.000	  49.390	AttF2	1	49	1	1354
51535	3	26	49.000	  81.000	  82.000	  48.402	  45.451	  77.000	AttRF1	2	49	1	928
51535	3	27	50.000	  83.000	  85.000	  48.824	  50.000	  76.000	AttF1	1	49	1	1988
51535	3	28	53.000	  79.000	  84.000	  57.000	  68.000	  60.000	Fill	2	51	2	1082
51535	3	29	48.000	  79.000	  78.000	  48.615	  74.000	  44.962	AttRF2	5	49	2	4086
51535	3	30	51.000	  77.000	  76.000	  51.671	  48.952	  72.000	AttRF1	3	49	2	1074
51535	3	31	60.000	  86.000	  80.000	  51.000	  60.000	  68.000	Fill	4	50	1	1314
51535	3	32	50.000	  81.000	  81.000	  50.000	  81.000	  43.000	AttR2	4	51	2	3511
51535	3	33	48.000	  80.000	  87.000	  58.000	  69.000	  60.000	Fill	2	51	2	1788
51535	3	34	49.000	  81.000	  85.000	  60.000	  67.000	  60.000	Fill	3	49	2	1441
51535	3	35	50.000	  81.000	  81.000	  50.000	  72.000	  50.000	AttF2	3	49	2	2505
51535	3	36	50.000	  80.000	  81.000	  49.383	  81.000	  42.383	AttR2	2	51	2	1492
51535	3	37	51.000	  77.000	  76.000	  51.671	  71.000	  47.026	AttRF2	5	49	2	1685
51535	3	38	60.000	  82.000	  80.000	  51.000	  59.000	  68.000	Fill	5	51	1	2173
51535	3	39	53.000	  78.000	  76.000	  54.395	  53.000	  69.000	AttF1	6	50	2	1528
51535	3	40	48.000	  79.000	  78.000	  48.615	  40.000	  79.000	AttR1	2	51	2	1858
51535	3	41	53.000	  78.000	  76.000	  54.395	  44.000	  78.000	AttR1	2	51	2	941
51535	3	42	48.000	  79.000	  78.000	  48.615	  71.000	  48.615	AttF2	2	51	2	1861
51535	3	43	49.000	  81.000	  82.000	  48.402	  78.000	  47.185	AttRF2	5	49	2	3414
51535	3	44	58.000	  83.000	  79.000	  49.000	  58.000	  69.000	Fill	2	49	1	1116
51535	3	45	50.000	  78.000	  80.000	  48.750	  43.000	  78.000	AttR1	5	49	2	1299
51535	3	46	49.000	  81.000	  82.000	  48.402	  73.000	  48.402	AttF2	4	51	2	1073
51535	3	47	50.000	  81.000	  81.000	  50.000	  46.914	  76.000	AttRF1	4	49	3	1688
51535	3	48	50.000	  81.000	  79.000	  51.266	  74.000	  45.679	AttRF2	5	49	2	1185
51535	3	49	50.000	  81.000	  79.000	  51.266	  41.000	  81.000	AttR1	1	50	2	968
51535	3	50	50.000	  83.000	  85.000	  48.824	  81.000	  48.795	AttRF2	5	50	3	1707
51535	3	51	57.000	  87.000	  80.000	  51.000	  59.000	  70.000	Fill	4	50	1	783
51535	3	52	58.000	  88.000	  79.000	  50.000	  57.000	  69.000	Fill	4	50	1	827
51535	3	53	49.000	  81.000	  82.000	  48.402	  49.000	  73.000	AttF1	4	51	2	910
51535	3	54	50.000	  80.000	  81.000	  49.383	  43.000	  80.000	AttR1	4	51	2	1333
